station_id,date,timestamp,hour,weekday,is_weekend,is_holiday,lag_1h,lag_24h,lag_168h,rolling_mean_24h,station_encoding,temperature_c,is_precipitation,charge_load_kwh
1,2026-08-13,2026-08-13 10:00:00,10,3,0,0,54.02,0.0,53.21,2.250833,0,24.28,0,0.0
1,2026-08-13,2026-08-13 11:00:00,11,3,0,0,0.0,0.0,0.0,2.250833,0,23.69,0,0.0
1,2026-08-13,2026-08-13 12:00:00,12,3,0,0,0.0,0.0,0.0,2.250833,0,23.26,1,0.0
1,2026-08-13,2026-08-13 13:00:00,13,3,0,0,0.0,0.0,0.0,2.250833,0,22.59,0,0.0
1,2026-08-13,2026-08-13 14:00:00,14,3,0,0,0.0,0.0,0.0,2.250833,0,22.71,1,0.0
1,2026-08-13,2026-08-13 15:00:00,15,3,0,0,0.0,0.0,39.14,2.250833,0,23.17,1,16.28
1,2026-08-13,2026-08-13 16:00:00,16,3,0,0,16.28,0.0,0.0,2.929167,0,23.7,0,0.0
1,2026-08-13,2026-08-13 17:00:00,17,3,0,0,0.0,0.0,0.0,2.929167,0,20.58,0,0.0
1,2026-08-13,2026-08-13 18:00:00,18,3,0,0,0.0,0.0,0.0,2.929167,0,21.47,0,0.0
1,2026-08-13,2026-08-13 19:00:00,19,3,0,0,0.0,0.0,0.0,2.929167,0,19.44,0,0.0
1,2026-08-13,2026-08-13 20:00:00,20,3,0,0,0.0,0.0,0.0,2.929167,0,19.65,0,0.0
1,2026-08-13,2026-08-13 21:00:00,21,3,0,0,0.0,0.0,0.0,2.929167,0,18.56,0,0.0
1,2026-08-13,2026-08-13 22:00:00,22,3,0,0,0.0,0.0,0.0,2.929167,0,18.23,1,0.0
1,2026-08-13,2026-08-13 23:00:00,23,3,0,0,0.0,0.0,0.0,2.929167,0,18.53,0,0.0
1,2026-08-14,2026-08-14 00:00:00,0,4,0,0,0.0,0.0,0.0,2.929167,0,17.33,0,0.0
1,2026-08-14,2026-08-14 01:00:00,1,4,0,0,0.0,0.0,0.0,2.929167,0,19.35,0,0.0
1,2026-08-14,2026-08-14 02:00:00,2,4,0,0,0.0,0.0,0.0,2.929167,0,16.88,1,0.0
1,2026-08-14,2026-08-14 03:00:00,3,4,0,0,0.0,0.0,0.0,2.929167,0,17.49,0,0.0
1,2026-08-14,2026-08-14 04:00:00,4,4,0,0,0.0,0.0,0.0,2.929167,0,19.14,1,0.0
1,2026-08-14,2026-08-14 05:00:00,5,4,0,0,0.0,0.0,0.0,2.929167,0,18.79,1,0.0
1,2026-08-14,2026-08-14 06:00:00,6,4,0,0,0.0,0.0,0.0,2.929167,0,20.24,1,0.0
1,2026-08-14,2026-08-14 07:00:00,7,4,0,0,0.0,0.0,30.58,2.929167,0,23.06,0,0.0
1,2026-08-14,2026-08-14 08:00:00,8,4,0,0,0.0,0.0,0.0,2.929167,0,22.67,0,0.0
1,2026-08-14,2026-08-14 09:00:00,9,4,0,0,0.0,54.02,0.0,2.929167,0,21.89,0,0.0
1,2026-08-14,2026-08-14 10:00:00,10,4,0,0,0.0,0.0,0.0,0.678333,0,24.37,1,0.0
1,2026-08-14,2026-08-14 11:00:00,11,4,0,0,0.0,0.0,42.76,0.678333,0,23.21,0,0.0
1,2026-08-14,2026-08-14 12:00:00,12,4,0,0,0.0,0.0,0.0,0.678333,0,22.43,0,20.97
1,2026-08-14,2026-08-14 13:00:00,13,4,0,0,20.97,0.0,0.0,1.552083,0,23.06,0,0.0
1,2026-08-14,2026-08-14 14:00:00,14,4,0,0,0.0,0.0,0.0,1.552083,0,22.37,0,0.0
1,2026-08-14,2026-08-14 15:00:00,15,4,0,0,0.0,16.28,0.0,1.552083,0,22.64,0,0.0
1,2026-08-14,2026-08-14 16:00:00,16,4,0,0,0.0,0.0,0.0,0.87375,0,21.37,0,0.0
1,2026-08-14,2026-08-14 17:00:00,17,4,0,0,0.0,0.0,0.0,0.87375,0,22.59,0,0.0
1,2026-08-14,2026-08-14 18:00:00,18,4,0,0,0.0,0.0,0.0,0.87375,0,22.25,0,30.67
1,2026-08-14,2026-08-14 19:00:00,19,4,0,0,30.67,0.0,0.0,2.151667,0,18.52,0,0.0
1,2026-08-14,2026-08-14 20:00:00,20,4,0,0,0.0,0.0,0.0,2.151667,0,20.38,0,0.0
1,2026-08-14,2026-08-14 21:00:00,21,4,0,0,0.0,0.0,0.0,2.151667,0,19.48,0,0.0
1,2026-08-14,2026-08-14 22:00:00,22,4,0,0,0.0,0.0,0.0,2.151667,0,17.03,0,0.0
1,2026-08-14,2026-08-14 23:00:00,23,4,0,0,0.0,0.0,0.0,2.151667,0,19.19,0,0.0
1,2026-08-15,2026-08-15 00:00:00,0,5,1,0,0.0,0.0,0.0,2.151667,0,18.32,1,0.0
